1640968653.153280,1640968653.191782,1640968653.261467
1640968693.214777,1640968693.257773,1640968693.509027
1640968733.332533,1640968733.376790,1640968733.474076
1640968758.430547,1640968758.469439,1640968758.521735
1640968773.402314,1640968773.443119,1640968773.725986
1640968813.522841,1640968813.566430,1640968813.727170
1640968832.771414,1640968832.815178,1640968832.977028
1640968872.911678,1640968872.974346,1640968873.015529
1640968913.045341,1640968913.085663,1640968913.249531
1640968953.107810,1640968953.147164,1640968953.227203
1640968993.249747,1640968993.329942,1640968993.479454
1640969033.373649,1640969033.422697,1640969033.479678
1640969073.442508,1640969073.489084,1640969073.739557
1640969113.545525,1640969113.586388,1640969113.761901
1640969132.804594,1640969132.847757,1640969133.008466
1640969172.951448,1640969172.997763,1640969173.244791
1640969213.078448,1640969213.124600,1640969213.231297
1640969253.157360,1640969253.196202,1640969253.229552
1640969293.257660,1640969293.716999,1640969293.982440
1640969312.825104,1640969312.870405,1640969313.021191
1640969352.905607,1640969352.961730,1640969352.981495
1640969392.994923,1640969393.040258,1640969393.231009
1640969432.772896,1640969432.823237,1640969432.839731
1640969472.901982,1640969472.953097,1640969473.002368
1640969513.008226,1640969513.066622,1640969513.237551
1640969553.156883,1640969553.199986,1640969553.252260
1640969593.227418,1640969593.269671,1640969593.494451
1640969633.328110,1640969633.367903,1640969633.588029
1640969673.410398,1640969673.452569,1640969673.482910
1640969713.508749,1640969713.553446,1640969713.745943
1640969732.784442,1640969732.823538,1640969732.990690
1640969772.928416,1640969772.967063,1640969773.235552
1640969813.049237,1640969813.090449,1640969813.263185
1640969853.107265,1640969853.169968,1640969853.236890
1640969893.220626,1640969893.261120,1640969893.536032
1640969933.278179,1640969933.318716,1640969933.492432
1640969973.399797,1640969973.440887,1640969973.502742
1640970013.469967,1640970013.509278,1640970013.746258
